model,ticker,n,mae,rmse,r2,dir_acc
baseline:company_hist,AAPL,45,0.18618563375439579,0.21932410745447614,-1.6159043878913013,0.8222222222222222
baseline:company_hist,ABBV,49,0.097280242127546,0.14072373480112704,-0.06698304254754395,0.8775510204081632
baseline:company_hist,ABT,49,0.09815654110112584,0.1442810528828867,-0.31911465087927327,0.6326530612244898
baseline:company_hist,ADBE,49,0.07321189409448858,0.09070965328805387,-0.5587835593543842,0.9795918367346939
baseline:company_hist,AMGN,49,0.04860849335705781,0.06482583261691617,-0.023540377155430114,0.7959183673469388
baseline:company_hist,AMT,48,0.22877334787388368,0.37734884354390386,-0.06339180625908392,0.7083333333333334
baseline:company_hist,AMZN,49,0.1132941902452555,0.12571537444058747,-0.46814542718831387,1.0
baseline:company_hist,APD,49,0.09179241607720176,0.12312935582764396,-0.029989565357672276,0.5510204081632653
baseline:company_hist,AVB,44,0.22349069647010447,0.38382312143293534,-0.02226932758609168,0.6818181818181818
baseline:company_hist,BA,49,0.14154954853235807,0.19461296952518553,-0.03295735228589258,0.5714285714285714
baseline:company_hist,BAC,49,0.04762697871256964,0.059802188584440294,-0.025639205421358335,0.6326530612244898
baseline:company_hist,BKNG,49,0.2795753961392764,0.5006001672957595,-0.030645274832545644,0.8775510204081632
baseline:company_hist,BKR,37,0.21048784123018,0.2664307139662363,-0.1767074233957595,0.7297297297297297
baseline:company_hist,BMY,49,0.11777346573236248,0.19935027241792175,-0.17434761047274439,0.7142857142857143
baseline:company_hist,BRK.B,49,0.10026085446793902,0.13551072908646677,-0.18442282100705398,0.673469387755102
baseline:company_hist,C,48,0.07091971196352136,0.08644946533860068,-0.9544525189327924,0.5833333333333334
baseline:company_hist,CAT,49,0.14971128681125936,0.17198296400994884,-0.09113784284294213,0.5510204081632653
baseline:company_hist,CCI,48,0.2762694051656577,0.40247912059661456,-0.13637293964010944,0.6041666666666666
baseline:company_hist,CHTR,46,0.11112603640215073,0.243165704384179,-0.05276832650924135,0.9347826086956522
baseline:company_hist,CL,49,0.04163380825846333,0.04976525188943828,-0.04396448124568253,0.6122448979591837
baseline:company_hist,CMCSA,49,0.08317044356179283,0.09483617073642626,-0.47770600891212833,0.7959183673469388
baseline:company_hist,COP,47,0.3208081068770102,0.48320659382887865,-0.07902848947294916,0.46808510638297873
baseline:company_hist,COST,49,0.039751128744083736,0.050217713686764094,-0.051648547425688696,1.0
baseline:company_hist,CRM,49,0.07821388786885022,0.09440650815264279,-0.2993532421617098,1.0
baseline:company_hist,CSCO,47,0.06193539764109363,0.07422827227470524,-0.27072608037920776,0.5531914893617021
baseline:company_hist,CVX,49,0.24616809030786535,0.35615783690947694,-0.024429007243126577,0.46938775510204084
baseline:company_hist,DD,35,0.2290306725359111,0.3024453609482815,-0.21602557939552502,0.6571428571428571
baseline:company_hist,DE,45,0.15979558994731508,0.18415880042383104,-0.07234960951029623,0.5333333333333333
baseline:company_hist,DIS,25,0.1510343063441549,0.2026123954698349,-0.17591085269116613,0.76
baseline:company_hist,DLR,49,0.09441459784931114,0.10472024032234127,-0.1450331131335878,0.9591836734693877
baseline:company_hist,DOW,29,0.18958919453002618,0.25236784155284,-0.27824391518763814,0.4482758620689655
baseline:company_hist,EA,49,0.11284166531560653,0.16586088562068096,-0.11527534395206707,0.7346938775510204
baseline:company_hist,ECL,49,0.10475103254213462,0.1326090477173639,-1.6335026720769439,0.6530612244897959
baseline:company_hist,EOG,49,0.4035577418099994,0.5728002338109042,-0.03532602092727011,0.5714285714285714
baseline:company_hist,EQIX,49,0.09745798613065884,0.1035138233550302,-0.4810655713573009,0.9795918367346939
baseline:company_hist,EQR,25,0.04501478972676213,0.08046663425546742,-0.10629532688542054,0.8
baseline:company_hist,ETN,46,0.09580849678996606,0.12968326630581922,-0.7137105079024031,0.6956521739130435
baseline:company_hist,F,49,0.08149641824410782,0.13343314710256504,-0.02351160256168261,0.6122448979591837
baseline:company_hist,FCX,49,0.22048756667080593,0.2843290227367008,-0.06824908940743701,0.4897959183673469
baseline:company_hist,GE,45,0.3643704461657461,0.48729621306716425,-0.4759834998359618,0.35555555555555557
baseline:company_hist,GIS,31,0.0532219715971955,0.06971849017433768,-0.087688237316357,0.6129032258064516
baseline:company_hist,GM,49,0.12545131580801724,0.2463885621399529,-0.02605728873631019,0.4897959183673469
baseline:company_hist,GOOGL,42,0.08134619844485556,0.11307647533666917,-0.14240861124193094,0.9761904761904762
baseline:company_hist,GS,49,0.1525871686988068,0.21894216318126658,-0.05357644863976896,0.5102040816326531
baseline:company_hist,HAL,49,0.21114547090964148,0.26389060465784403,-0.11741487915573834,0.5102040816326531
baseline:company_hist,HD,49,0.05169526209752707,0.07556516166015441,-0.06489807413960302,0.8367346938775511
baseline:company_hist,HON,49,0.07736686180489317,0.1263080399983135,-0.034227609887948596,0.5714285714285714
baseline:company_hist,INTC,43,0.08835825388712004,0.12183290959840888,-0.14063739073029868,0.5813953488372093
baseline:company_hist,JNJ,32,0.09924905814600458,0.22529149921924013,-0.057510538319245796,0.8125
baseline:company_hist,JPM,49,0.06486928085588778,0.088253712351681,-0.025102269910071806,0.7346938775510204
baseline:company_hist,KMB,49,0.086700239898192,0.23890238275700892,-0.018251818760145477,0.5306122448979592
baseline:company_hist,KO,26,0.07063337578339854,0.10584749460941487,-0.12540141983514763,0.7307692307692307
baseline:company_hist,LIN,33,0.35013057825929766,0.4327275932982604,-0.15511619843633295,0.7272727272727273
baseline:company_hist,LLY,49,0.14428803594984102,0.19087950488114797,-0.0874046792138572,0.6530612244897959
baseline:company_hist,LMT,49,0.06534665746941093,0.0844021387604577,-0.08876206460491409,0.7755102040816326
baseline:company_hist,LOW,49,0.06575804961425591,0.09276496188773133,-0.0385463326754476,0.7346938775510204
baseline:company_hist,MA,47,0.1259607487203052,0.21805164707407526,-0.031174357751684534,0.8936170212765957
baseline:company_hist,MCD,49,0.0773157555269498,0.11784223649797151,-0.05738820812009715,0.46938775510204084
baseline:company_hist,MDLZ,49,0.06992594003905282,0.08712865861001637,-0.05172927889588741,0.5306122448979592
baseline:company_hist,META,49,0.14996284692647235,0.18914878661744777,-0.10221022441236172,0.9387755102040817
baseline:company_hist,MO,49,0.039730148479550545,0.04665274029345026,-0.37977236542775383,0.3877551020408163
baseline:company_hist,MRK,31,0.26268426542470913,0.3437868904499345,-0.5243334624495215,0.7741935483870968
baseline:company_hist,MS,49,0.1328527015073256,0.18704993663707753,-0.05257635481326606,0.7142857142857143
baseline:company_hist,MSFT,49,0.07798944950695183,0.09045733861733249,-0.15988128930476986,0.8775510204081632
baseline:company_hist,NEM,33,0.19648135778573567,0.2570869173920162,-0.0927717512321824,0.696969696969697
baseline:company_hist,NFLX,49,0.07835546949887401,0.09946382239491572,-0.11632123765248292,1.0
baseline:company_hist,NKE,49,0.07932100547015063,0.1583432711194766,-0.025149366712464927,0.8367346938775511
baseline:company_hist,NUE,37,0.2228059878601885,0.29965056508870336,-0.03175794923658515,0.5135135135135135
baseline:company_hist,NVDA,49,0.42013595528001246,0.6537355052760219,-0.1441403383549631,0.8571428571428571
baseline:company_hist,O,33,0.12211454744360864,0.20983372409167825,-0.058628592578345406,1.0
baseline:company_hist,ORCL,47,0.14501938851113078,0.3946960086315109,-0.032058522512557586,0.8297872340425532
baseline:company_hist,OXY,49,0.33004653932516165,0.4359854199773077,-0.03239316681858995,0.40816326530612246
baseline:company_hist,PEP,49,0.056295992953870194,0.06922523033435005,-0.6842443112454644,0.7142857142857143
baseline:company_hist,PFE,26,0.3541481275753054,0.5299908364942866,-0.05150023681726279,0.46153846153846156
baseline:company_hist,PG,49,0.045882686860000924,0.05767451386169581,-0.04213940989403997,0.4897959183673469
baseline:company_hist,PLD,33,0.17227283540930927,0.22583409206642538,-0.060079635651699936,0.9090909090909091
baseline:company_hist,PSA,49,0.04891645304901162,0.0689721974380881,-0.12123857326233356,1.0
baseline:company_hist,RTX,49,0.11269762900126588,0.16257931025837785,-0.02691501022745113,0.6938775510204082
baseline:company_hist,SBUX,43,0.07967531961138201,0.14553612196090265,-0.02944633771969385,0.8372093023255814
baseline:company_hist,SCCO,39,0.1489459662651327,0.1985962383441878,-0.1604489230751156,0.5897435897435898
baseline:company_hist,SHW,49,0.07118032210959571,0.10488867729799024,-0.02891819095000714,0.9387755102040817
baseline:company_hist,SLB,49,0.14830578103098369,0.1989315109924536,-0.23745720826600314,0.6326530612244898
baseline:company_hist,SPG,49,0.05985957753541402,0.0929674187118923,-0.024375577657447467,0.8775510204081632
baseline:company_hist,T,49,0.09822700233363181,0.18127953254339402,-0.02354582148282036,0.5510204081632653
baseline:company_hist,TMO,42,0.10705628173071528,0.14316991211484112,-0.09458199768202546,0.8571428571428571
baseline:company_hist,TMUS,49,0.22098089941290444,0.24313225378592662,-0.5853313268009377,0.8571428571428571
baseline:company_hist,TSLA,49,0.34564200858395244,0.4186074120736576,-0.04178789443608655,0.8775510204081632
baseline:company_hist,TTWO,49,0.2979506396773774,0.44514570788227203,-0.06209011110179263,0.673469387755102
baseline:company_hist,UNH,49,0.040319662102151245,0.06036795370276563,-0.09257668991573298,1.0
baseline:company_hist,UNP,49,0.07899807159356595,0.1108964326442907,-0.1235563138159661,0.5306122448979592
baseline:company_hist,UPS,49,0.05563230036459451,0.0749601708080917,-0.028670368050898842,0.7142857142857143
baseline:company_hist,USB,49,0.03921215987374569,0.05975598551930633,-0.07856251065324082,0.7551020408163265
baseline:company_hist,V,49,0.06323374421895246,0.09298382135583023,-0.04055767181602632,0.9183673469387755
baseline:company_hist,VLO,33,0.36749784506698296,0.49741614101238524,-0.0899394894732719,0.42424242424242425
